CCTV1高清,udp://118.122.175.92:554/PLTV/88888893/224/3221226889/10000100000000060000000000622347_0.smil#udp://118.122.175.92:554/PLTV/88888896/224/3221227962/10000100000000060000000003735605_0.smil#udp://113.136.42.45:554/PLTV/88888888/224/3221226087/10000100000000060000000001759104_0.smil
CCTV2高清,udp://118.122.175.92:554/PLTV/88888896/224/3221227983/10000100000000060000000003751359_0.smil#udp://113.136.42.39:554/PLTV/88888888/224/3221226134/10000100000000060000000001794850_0.smil
CCTV3高清,udp://118.122.175.92:554/PLTV/88888893/224/3221226816/10000100000000060000000001366243_0.smil
CCTV4高清,udp://118.122.175.92:554/PLTV/88888896/224/3221227928/10000100000000060000000003751404_0.smil
CCTV5高清,udp://118.122.175.92:554/PLTV/88888893/224/3221227219/10000100000000060000000001366244_0.smil#udp://113.136.42.39:554/PLTV/88888888/224/3221226039/10000100000000060000000001598747_0.smil
CCTV6高清,udp://118.122.175.92:554/PLTV/88888893/224/3221226820/10000100000000060000000001366343_0.smil
CCTV7高清,udp://118.122.175.92:554/PLTV/88888896/224/3221227989/10000100000000060000000003751413_0.smil#udp://113.136.42.42:554/PLTV/88888888/224/3221226130/10000100000000060000000001794846_0.smil
CCTV8高清,udp://118.122.175.92:554/PLTV/88888893/224/3221226818/10000100000000060000000001366245_0.smil
CCTV9高清,udp://118.122.175.92:554/PLTV/88888896/224/3221227993/10000100000000060000000003751454_0.smil
CCTV10高清,udp://118.122.175.92:554/PLTV/88888896/224/3221227995/10000100000000060000000003751458_0.smil#udp://113.136.42.42:554/PLTV/88888888/224/3221226132/10000100000000060000000001794848_0.smil
CCTV12高清,udp://118.122.175.92:554/PLTV/88888896/224/3221227986/10000100000000060000000003751507_0.smil#udp://113.136.42.42:554/PLTV/88888888/224/3221226125/10000100000000060000000001794847_0.smil
CCTV14高清,udp://118.122.175.92:554/PLTV/88888896/224/3221227992/10000100000000060000000003751527_0.smil
CCTV5＋高清,udp://118.122.175.92:554/PLTV/88888893/224/3221226876/10000100000000060000000001827878_0.smil
湖南卫视高清,udp://118.122.175.92:554/PLTV/88888896/224/3221227953/10000100000000060000000003734332_0.smil#udp://113.136.42.39:554/PLTV/88888888/224/3221226085/10000100000000060000000001759102_0.smil
江苏卫视高清,udp://118.122.175.92:554/PLTV/88888896/224/3221227959/10000100000000060000000003734295_0.smil#udp://113.136.42.40:554/PLTV/88888888/224/3221226090/10000100000000060000000001759099_0.smil
浙江卫视高清,udp://118.122.175.92:554/PLTV/88888896/224/3221227968/10000100000000060000000003734350_0.smil#udp://113.136.42.39:554/PLTV/88888888/224/3221226088/10000100000000060000000001759097_0.smil
安徽卫视高清,udp://113.136.42.40:554/PLTV/88888888/224/3221226129/10000100000000060000000001794852_0.smil
东方卫视高清,udp://118.122.175.92:554/PLTV/88888896/224/3221227922/10000100000000060000000003734364_0.smil#udp://113.136.42.39:554/PLTV/88888888/224/3221226081/10000100000000060000000001759098_0.smil
北京卫视高清,udp://118.122.175.92:554/PLTV/88888896/224/3221227987/10000100000000060000000003734368_0.smil#udp://113.136.42.40:554/PLTV/88888888/224/3221226094/10000100000000060000000001759103_0.smil
深圳卫视高清,udp://118.122.175.92:554/PLTV/88888896/224/3221227965/10000100000000060000000003734360_0.smil
四川卫视高清,udp://118.122.175.92:554/PLTV/88888896/224/3221227981/10000100000000060000000003732199_0.smil
天津卫视高清,udp://118.122.175.92:554/PLTV/88888896/224/3221227956/10000100000000060000000003734376_0.smil
湖北卫视高清,udp://118.122.175.92:554/PLTV/88888896/224/3221227974/10000100000000060000000003734390_0.smil
广东卫视高清,udp://118.122.175.92:554/PLTV/88888896/224/3221227971/10000100000000060000000003742736_0.smil
山东卫视高清,udp://118.122.175.92:554/PLTV/88888896/224/3221227980/10000100000000060000000003734383_0.smil#udp://113.136.42.41:554/PLTV/88888888/224/3221226077/10000100000000060000000001759094_0.smil
重庆卫视高清,udp://118.122.175.92:554/PLTV/88888896/224/3221228005/10000100000000060000000003751248_0.smil
江西卫视高清,udp://118.122.175.92:554/PLTV/88888888/224/3221228430/585951199.smil
贵州卫视高清,udp://118.122.175.92:554/PLTV/88888888/224/3221228407/585951205.smil
河北卫视高清,udp://118.122.175.92:554/PLTV/88888888/224/3221228435/585951204.smil
广东卫视高清,udp://113.136.42.39:554/PLTV/88888888/224/3221226086/10000100000000060000000001759095_0.smil
湖北卫视高清,udp://113.136.42.41:554/PLTV/88888888/224/3221226079/10000100000000060000000001759096_0.smil
深圳卫视高清,udp://113.136.42.41:554/PLTV/88888888/224/3221226083/10000100000000060000000001759100_0.smil
SCTV-2高清,udp://118.122.175.92:554/PLTV/88888896/224/3221227905/10000100000000060000000003706211_0.smil#http://scgctvshow.sctv.com/hdlive/sctv2/3.m3u8
SCTV-3高清,udp://118.122.175.92:554/PLTV/88888896/224/3221227904/10000100000000060000000003706213_0.smil#http://scgctvshow.sctv.com/hdlive/sctv3/3.m3u8
SCTV-5高清,udp://118.122.175.92:554/PLTV/88888896/224/3221227947/10000100000000060000000003734394_0.smil#http://scgctvshow.sctv.com/hdlive/sctv5/3.m3u8
SCTV-7高清,udp://118.122.175.92:554/PLTV/88888896/224/3221228366/10000100000000060000000004584332_0.smil#http://scgctvshow.sctv.com/hdlive/sctv7/3.m3u8
峨眉电影高清,udp://118.122.175.92:554/PLTV/88888896/224/3221227951/10000100000000060000000003709052_0.smil#http://scgctvshow.sctv.com/hdlive/emei/3.m3u8
金鹰纪实高清,udp://118.122.175.92:554/PLTV/88888888/224/3221228412/585951209.smil
熊猫影院高清,udp://118.122.175.92:554/PLTV/88888893/224/3221226766/10000100000000060000000001098398_0.smil
熊猫剧场高清,udp://118.122.175.92:554/PLTV/88888893/224/3221226764/10000100000000060000000001098396_0.smil
金熊猫卡通高清,udp://118.122.175.92:554/PLTV/88888893/224/3221227159/10000100000000060000000001098397_0.smil
河南卫视,udp://113.136.42.39:554/PLTV/88888888/224/3221226100/10000100000000060000000001759198_0.smil#udp://113.136.42.46:554/PLTV/88888888/224/3221226100/10000100000000060000000001759198_0.smil
湖南卫视,udp://113.136.42.40:554/PLTV/88888888/224/3221226076/10000100000000060000000001759082_0.smil
浙江卫视,udp://113.136.42.41:554/PLTV/88888888/224/3221226099/10000100000000060000000001759205_0.smil
安徽卫视,udp://113.136.42.39:554/PLTV/88888888/224/3221226031/10000100000000060000000001537275_0.smil
北京卫视,udp://113.136.42.41:554/PLTV/88888888/224/3221226029/10000100000000060000000001535351_0.smil
东方卫视,udp://113.136.42.39:554/PLTV/88888888/224/3221226036/10000100000000060000000001535350_0.smil
东南卫视,udp://113.136.42.41:554/PLTV/88888888/224/3221226074/10000100000000060000000001759078_0.smil
甘肃卫视,udp://113.136.42.41:554/PLTV/88888888/224/3221226061/10000100000000060000000001759073_0.smil
广东卫视,udp://113.136.42.39:554/PLTV/88888888/224/3221226098/10000100000000060000000001759196_0.smil
广西卫视,udp://113.136.42.41:554/PLTV/88888888/224/3221226091/10000100000000060000000001759197_0.smil
贵州卫视,udp://113.136.42.41:554/PLTV/88888888/224/3221226102/10000100000000060000000001759200_0.smil
河北卫视,udp://113.136.42.40:554/PLTV/88888888/224/3221226067/10000100000000060000000001759079_0.smil
黑龙江卫视,udp://113.136.42.41:554/PLTV/88888888/224/3221226095/10000100000000060000000001759201_0.smil
湖北卫视,udp://113.136.42.41:554/PLTV/88888888/224/3221226089/10000100000000060000000001759195_0.smil
吉林卫视,udp://113.136.42.41:554/PLTV/88888888/224/3221226072/10000100000000060000000001759074_0.smil#udp://113.136.42.46:554/PLTV/88888888/224/3221226072/10000100000000060000000001759074_0.smil
江苏卫视,udp://113.136.42.39:554/PLTV/88888888/224/3221226106/10000100000000060000000001759204_0.smil
江西卫视,udp://113.136.42.41:554/PLTV/88888888/224/3221226097/10000100000000060000000001759203_0.smil
辽宁卫视,udp://113.136.42.41:554/PLTV/88888888/224/3221226104/10000100000000060000000001759202_0.smil
内蒙古卫视,udp://113.136.42.41:554/PLTV/88888888/224/3221226068/10000100000000060000000001759070_0.smil
宁夏卫视,udp://113.136.42.41:554/PLTV/88888888/224/3221226065/10000100000000060000000001759077_0.smil
青海卫视,udp://113.136.42.41:554/PLTV/88888888/224/3221226070/10000100000000060000000001759072_0.smil
山东卫视,udp://113.136.42.41:554/PLTV/88888888/224/3221226038/10000100000000060000000001536861_0.smil
山西卫视,udp://113.136.42.41:554/PLTV/88888888/224/3221226042/10000100000000060000000001537274_0.smil
